wine_type,wine_category,food_item,cuisine,pairing_quality,description
Syrah,Red,smoked sausage,Spanish,2,Heuristic pairing assessment.
Grenache,Red,charcuterie board,French,3,Heuristic pairing assessment.
Madeira,Fortified,lemon tart,French,4,Acidic wine balances acidic food.
Cabernet Sauvignon,Red,roast lamb,Mexican,5,Tannic red complements red meat fat.
Viognier,White,duck à l’orange,Vietnamese,2,Heuristic pairing assessment.
Pinot Noir,Red,citrus salad,Argentinian,4,Acidic wine balances acidic food.
Albariño,White,oysters,Vietnamese,4,Crisp acidity suits seafood.
Sangiovese,Red,citrus salad,Moroccan,4,Acidic wine balances acidic food.
Pinot Noir,Red,cheese platter,Italian,3,Heuristic pairing assessment.
Grüner Veltliner,White,citrus salad,American BBQ,4,Acidic wine balances acidic food.
Grenache,Red,bacon burger,Argentinian,4,Heuristic pairing assessment.
Sangiovese,Red,chicken curry,German,2,Heavy wine can dominate poultry.
Sauternes,Dessert,lemon tart,Spanish,4,Acidic wine balances acidic food.; Sweet/sparkling pairs with dessert.
Cava,Sparkling,charcuterie board,Italian,3,Heuristic pairing assessment.
Albariño,White,vegetable curry,German,3,Heuristic pairing assessment.
Sangiovese,Red,citrus salad,American BBQ,4,Acidic wine balances acidic food.
Viognier,White,alfredo pasta,German,4,Richer body matches creamy textures.
Riesling,White,Thai curry,Mexican,3,Heuristic pairing assessment.
Chardonnay,White,bacon burger,Vietnamese,2,Heuristic pairing assessment.
Syrah,Red,roast lamb,Thai,5,Tannic red complements red meat fat.
Chardonnay,White,bacon burger,Italian,3,Heuristic pairing assessment.
Viognier,White,roast chicken with herbs,Middle Eastern,4,Lighter wines fit poultry.
Grüner Veltliner,White,shrimp scampi,Japanese,3,Crisp acidity suits seafood.
Nebbiolo,Red,Thai curry,American BBQ,3,Heuristic pairing assessment.
Grüner Veltliner,White,stir-fried tofu,Spanish,3,Heuristic pairing assessment.
Port,Fortified,cheesecake,Middle Eastern,3,Heuristic pairing assessment.
Cabernet Sauvignon,Red,beef stew,Chinese (Sichuan),3,Heuristic pairing assessment.
Viognier,White,chicken curry,Vietnamese,4,Lighter wines fit poultry.
Cabernet Sauvignon,Red,grilled burger,Thai,3,Heuristic pairing assessment.
Ice Wine,Dessert,roast chicken with herbs,German,2,Heavy wine can dominate poultry.
Gewürztraminer,White,Indian vindaloo,Thai,3,Heuristic pairing assessment.
Pinot Noir,Red,stir-fried tofu,French,3,Heuristic pairing assessment.
Merlot,Red,bacon burger,Thai,3,Heuristic pairing assessment.
Sangiovese,Red,mushroom risotto,French,4,Heuristic pairing assessment.
Pinot Noir,Red,stir-fried tofu,Japanese,3,Heuristic pairing assessment.
Champagne,Sparkling,shrimp scampi,French,4,Crisp acidity suits seafood.
Torrontés,White,Thai curry,Moroccan,3,Heuristic pairing assessment.
Sauternes,Dessert,grilled salmon,German,3,Tannic reds clash with delicate seafood.
Nebbiolo,Red,Thai curry,French,3,Heuristic pairing assessment.
Madeira,Fortified,mac and cheese,Japanese,3,Heuristic pairing assessment.
Ice Wine,Dessert,sorbet,Ethiopian,4,Sweet/sparkling pairs with dessert.
Ice Wine,Dessert,oysters,Japanese,3,Tannic reds clash with delicate seafood.
Syrah,Red,smoked sausage,Ethiopian,2,Heuristic pairing assessment.
Nebbiolo,Red,grilled ribeye,Thai,2,Heuristic pairing assessment.
Port,Fortified,cheese platter,Italian,3,Heuristic pairing assessment.
Chardonnay,White,cream of mushroom soup,Mexican,4,Richer body matches creamy textures.
Grenache,Red,olives and cheese,Italian,3,Heuristic pairing assessment.
Madeira,Fortified,mac and cheese,Greek,3,Heuristic pairing assessment.
Gewürztraminer,White,mac and cheese,Mexican,4,Heuristic pairing assessment.
Sangiovese,Red,chicken curry,Middle Eastern,2,Heavy wine can dominate poultry.
Ice Wine,Dessert,chicken curry,Vietnamese,1,Heavy wine can dominate poultry.
